datetime,speed_kt,dir_deg
2026-07-19 18:00:00,4.35990,226.4271
2026-07-19 19:00:00,11.36217,229.5794
2026-07-19 20:00:00,11.90398,236.0504
2026-07-19 21:00:00,12.09478,235.2117
2026-07-19 22:00:00,14.36170,239.4086
2026-07-19 23:00:00,17.13625,245.4700
2026-07-20 00:00:00,17.40904,249.3391
2026-07-20 01:00:00,16.09632,249.5735
2026-07-20 02:00:00,14.33765,249.5258
2026-07-20 03:00:00,13.54187,251.3310
2026-07-20 04:00:00,12.00754,254.4113
2026-07-20 05:00:00,9.45406,251.4160
2026-07-20 06:00:00,7.40784,244.5108
2026-07-20 07:00:00,6.66738,240.8643
2026-07-20 08:00:00,5.69446,227.7947
2026-07-20 09:00:00,5.44012,218.8357
2026-07-20 10:00:00,4.79733,224.3433
2026-07-20 11:00:00,4.59537,216.4336
2026-07-20 12:00:00,5.08850,198.6703
2026-07-20 13:00:00,6.03269,202.3671
2026-07-20 14:00:00,5.13354,231.6113
2026-07-20 15:00:00,4.57005,243.7728
2026-07-20 16:00:00,4.47299,231.7057
2026-07-20 17:00:00,6.08580,228.7814
2026-07-20 18:00:00,9.13831,228.9069
2026-07-20 19:00:00,11.87347,235.2693
2026-07-20 20:00:00,13.48798,239.0362
2026-07-20 21:00:00,15.60439,243.1158
2026-07-20 22:00:00,16.99027,244.6663
2026-07-20 23:00:00,16.39702,244.2855
2026-07-21 00:00:00,16.31081,244.4427
2026-07-21 01:00:00,16.70700,250.0682
2026-07-21 02:00:00,14.55796,253.4766
2026-07-21 03:00:00,12.62931,252.9038
2026-07-21 04:00:00,10.55448,251.8654
2026-07-21 05:00:00,9.39390,249.2774
2026-07-21 06:00:00,9.16141,248.9997
2026-07-21 07:00:00,8.41056,245.2711
2026-07-21 08:00:00,7.32215,245.5850
2026-07-21 09:00:00,7.13913,247.3729
2026-07-21 10:00:00,6.75415,233.4137
2026-07-21 11:00:00,7.18984,205.8030
2026-07-21 12:00:00,8.76144,219.0569
2026-07-21 13:00:00,7.24750,140.3322
2026-07-21 14:00:00,9.19974,108.8101
2026-07-21 15:00:00,8.60716,116.2873
2026-07-21 16:00:00,9.83495,130.2783
2026-07-21 17:00:00,9.50965,143.6454
2026-07-21 18:00:00,8.69564,159.8637
