datetime,speed_kt,dir_deg
2026-08-07 12:00:00,3.98250,325.3791
2026-08-07 13:00:00,4.91506,291.2881
2026-08-07 14:00:00,2.38704,327.2676
2026-08-07 15:00:00,4.17483,17.6166
2026-08-07 16:00:00,2.49071,337.7585
2026-08-07 17:00:00,4.53642,229.3268
2026-08-07 18:00:00,5.44553,226.7357
2026-08-07 19:00:00,6.95520,225.4529
2026-08-07 20:00:00,8.64878,226.5482
2026-08-07 21:00:00,9.64916,224.6735
2026-08-07 22:00:00,10.82572,222.7443
2026-08-07 23:00:00,12.53655,224.2462
2026-08-08 00:00:00,12.56539,232.6692
2026-08-08 01:00:00,13.02363,229.1761
2026-08-08 02:00:00,11.97790,228.2892
2026-08-08 03:00:00,9.50265,219.3554
2026-08-08 04:00:00,7.88345,211.7149
2026-08-08 05:00:00,6.66210,218.0201
2026-08-08 06:00:00,6.03821,211.5205
2026-08-08 07:00:00,5.57923,209.4230
2026-08-08 08:00:00,3.85388,215.7023
2026-08-08 09:00:00,1.45790,180.3056
2026-08-08 10:00:00,3.69619,79.3933
2026-08-08 11:00:00,3.57621,51.7098
2026-08-08 12:00:00,3.07570,26.1764
2026-08-08 13:00:00,4.26211,20.0300
2026-08-08 14:00:00,4.08476,11.2511
2026-08-08 15:00:00,3.57114,5.0589
