datetime,speed_kt,dir_deg
2026-08-18 00:00:00,8.62358,248.5823
2026-08-18 01:00:00,16.22673,234.3107
2026-08-18 02:00:00,15.86203,236.9526
2026-08-18 03:00:00,14.13284,238.2118
2026-08-18 04:00:00,11.10178,242.8068
2026-08-18 05:00:00,9.01879,245.1472
2026-08-18 06:00:00,6.83596,252.2864
2026-08-18 07:00:00,2.80627,285.6728
2026-08-18 08:00:00,7.48154,254.0137
2026-08-18 09:00:00,6.74633,262.3835
2026-08-18 10:00:00,4.83016,254.1179
2026-08-18 11:00:00,3.77746,261.1193
2026-08-18 12:00:00,2.86491,289.4185
2026-08-18 13:00:00,3.03152,255.5182
2026-08-18 14:00:00,2.82667,232.2632
2026-08-18 15:00:00,4.41681,209.5322
2026-08-18 16:00:00,5.47623,195.0179
2026-08-18 17:00:00,8.12937,198.5433
2026-08-18 18:00:00,10.31643,208.8396
2026-08-18 19:00:00,12.56573,220.0552
2026-08-18 20:00:00,15.62001,228.7336
2026-08-18 21:00:00,17.37504,230.6294
2026-08-18 22:00:00,18.30368,230.7320
2026-08-18 23:00:00,19.15033,230.8497
2026-08-19 00:00:00,18.29906,229.0488
2026-08-19 01:00:00,17.71273,232.7151
2026-08-19 02:00:00,16.11964,232.3977
2026-08-19 03:00:00,13.97248,239.7608
